486
178
(10.000000, -22.772598, 10.000000) (0.100000, 0.472274, 0.100000) (0.000000, 0.000000)
(20.000000, -25.184502, 30.000002) (0.200000, 0.448155, 0.300000) (0.000000, 0.000000)
(20.000000, -41.181198, 20.000000) (0.200000, 0.288188, 0.200000) (0.000000, 0.000000)
(10.000000, -38.006599, 20.000000) (0.100000, 0.319934, 0.200000) (0.000000, 0.000000)
(10.000000, -12.382996, 30.000002) (0.100000, 0.576170, 0.300000) (0.000000, 0.000000)
(20.000000, -25.184502, 30.000002) (0.200000, 0.448155, 0.300000) (0.000000, 0.000000)
(10.000000, -38.006599, 20.000000) (0.100000, 0.319934, 0.200000) (0.000000, 0.000000)
(20.000000, -21.844997, 40.000000) (0.200000, 0.481550, 0.400000) (0.000000, 0.000000)
(20.000000, -25.184502, 30.000002) (0.200000, 0.448155, 0.300000) (0.000000, 0.000000)
(10.000000, -12.382996, 30.000002) (0.100000, 0.576170, 0.300000) (0.000000, 0.000000)
(10.000000, -34.347603, 40.000000) (0.100000, 0.356524, 0.400000) (0.000000, 0.000000)
(20.000000, -21.844997, 40.000000) (0.200000, 0.481550, 0.400000) (0.000000, 0.000000)
(10.000000, -12.382996, 30.000002) (0.100000, 0.576170, 0.300000) (0.000000, 0.000000)
(20.000000, -46.654301, 50.000000) (0.200000, 0.233457, 0.500000) (0.000000, 0.000000)
(20.000000, -21.844997, 40.000000) (0.200000, 0.481550, 0.400000) (0.000000, 0.000000)
(10.000000, -34.347603, 40.000000) (0.100000, 0.356524, 0.400000) (0.000000, 0.000000)
(10.000000, -9.723801, 50.000000) (0.100000, 0.602762, 0.500000) (0.000000, 0.000000)
(20.000000, -46.654301, 50.000000) (0.200000, 0.233457, 0.500000) (0.000000, 0.000000)
(10.000000, -34.347603, 40.000000) (0.100000, 0.356524, 0.400000) (0.000000, 0.000000)
(20.000000, -41.696602, 60.000004) (0.200000, 0.283034, 0.600000) (0.000000, 0.000000)
(20.000000, -46.654301, 50.000000) (0.200000, 0.233457, 0.500000) (0.000000, 0.000000)
(10.000000, -9.723801, 50.000000) (0.100000, 0.602762, 0.500000) (0.000000, 0.000000)
(10.000000, -26.565701, 60.000004) (0.100000, 0.434343, 0.600000) (0.000000, 0.000000)
(20.000000, -41.696602, 60.000004) (0.200000, 0.283034, 0.600000) (0.000000, 0.000000)
(10.000000, -9.723801, 50.000000) (0.100000, 0.602762, 0.500000) (0.000000, 0.000000)
(20.000000, -16.536797, 70.000008) (0.200000, 0.534632, 0.700000) (0.000000, 0.000000)
(20.000000, -41.696602, 60.000004) (0.200000, 0.283034, 0.600000) (0.000000, 0.000000)
(10.000000, -26.565701, 60.000004) (0.100000, 0.434343, 0.600000) (0.000000, 0.000000)
(10.000000, -16.536797, 70.000008) (0.100000, 0.534632, 0.700000) (0.000000, 0.000000)
(20.000000, -16.536797, 70.000008) (0.200000, 0.534632, 0.700000) (0.000000, 0.000000)
(10.000000, -26.565701, 60.000004) (0.100000, 0.434343, 0.600000) (0.000000, 0.000000)
(20.000000, -28.781700, 80.000008) (0.200000, 0.412183, 0.800000) (0.000000, 0.000000)
(20.000000, -16.536797, 70.000008) (0.200000, 0.534632, 0.700000) (0.000000, 0.000000)
(10.000000, -16.536797, 70.000008) (0.100000, 0.534632, 0.700000) (0.000000, 0.000000)
(10.000000, -28.781700, 80.000008) (0.100000, 0.412183, 0.800000) (0.000000, 0.000000)
(20.000000, -28.781700, 80.000008) (0.200000, 0.412183, 0.800000) (0.000000, 0.000000)
(10.000000, -16.536797, 70.000008) (0.100000, 0.534632, 0.700000) (0.000000, 0.000000)
(20.000000, -27.647900, 90.000008) (0.200000, 0.423521, 0.900000) (0.000000, 0.000000)
(20.000000, -28.781700, 80.000008) (0.200000, 0.412183, 0.800000) (0.000000, 0.000000)
